station,status,hourly_mae,hourly_rmse,ma24_mae,ma24_rmse,elapsed_s,error
ABANTO,ok,4.68373595460594,6.852365428603317,3.024340583526639,4.0332577798109766,1371.851567029953,
ALGORTA_BBIZI2,ok,8.673253779156969,12.553630680754523,5.33003284913676,7.19185751551966,1948.3632590770721,
ALONSOTEGI,ok,5.492164203409319,7.980579913304977,3.3097483176330984,4.555855923192653,1886.7730677127838,
ARRAIZ_Monte,ok,5.433441258651558,8.09955108638105,4.016606840233509,5.567955208252537,1181.1583230495453,
BARAKALDO,ok,6.613622731075422,9.925120203223585,4.230648218072339,5.918471730853358,1000.7549629211426,
BASAURI,ok,7.116380541805633,10.854863152526972,4.697647609606208,6.340646413333325,1305.1028230190277,
CASTREJANA,ok,6.7710817044621665,9.645743039687186,3.951868635419923,5.394683797068241,2075.1778225898743,
ERANDIO,ok,6.764788276927833,9.638579140488126,4.537340213723299,6.1523772014560985,1885.6068456172943,
EUROPA,ok,5.599320826897349,8.461543157227556,3.750095530150128,5.221739530106632,1660.3310904502869,
LAS_CARRERAS,ok,5.839037073443285,8.75531377200971,3.7844764825231834,5.088581142069449,1087.5615708827972,
MAZARREDO,ok,4.92653248047959,7.40821079772027,3.382282668308919,4.73086669009183,1169.8351619243622,
MUSKIZ,ok,4.199990213880788,6.888861231405827,2.933380517780687,4.210409216500717,803.9432842731476,
Mª_DIAZ_HARO,ok,5.590423864015518,8.470740083305019,3.953676915447075,5.514937930878717,1710.798427581787,
M┬к_DIAZ_HARO,ok,5.7840201318060025,8.784419539599446,4.161690956485498,5.963845721671167,2894.6903126239777,
SANGRONIZ,ok,6.206220680258378,9.067958442945761,3.7801064062229988,5.09178860610142,1402.1084952354431,
SANTURCE,ok,6.344877305345314,8.491734651660671,4.390579184322964,5.736746711493628,1623.0942921638489,
SAN_JULIAN,ok,6.635076537478242,9.90795060337307,4.309618276214742,6.109738865741225,1711.636619567871,
SAN_MIGUEL,ok,4.8499341850152575,6.697190281111164,3.67198216753459,5.016779383098585,947.0940940380096,
ZIERBENA_Puerto,ok,7.955780257472524,12.665906679164836,4.521083425981038,6.183497732135037,1069.7156779766083,
