station,status,hourly_mae,hourly_rmse,ma24_mae,ma24_rmse,elapsed_s,error
ABANTO,ok,4.7490214605981,7.016147599716246,3.122955395955084,4.265041254071256,1881.431846857071,
ALGORTA_BBIZI2,ok,8.668657884508905,12.635093462895783,5.355042465624956,7.311615677514348,642.4732196331024,
ALONSOTEGI,ok,5.710827808748183,8.481971341412125,3.603468023607146,5.295665418735857,622.2159299850464,
ARRAIZ_Monte,ok,6.115317089534175,8.800239330737307,4.729300808133858,6.314857089295097,1296.308863401413,
BARAKALDO,ok,6.676642302429149,10.165096939558566,4.340247579765361,6.257808293350444,932.5453877449036,
BASAURI,ok,6.856279083934319,10.74164494261128,4.58592720476083,6.332968621532053,1979.6876537799835,
CASTREJANA,ok,6.835961375547531,9.761576905984844,4.1018373362758025,5.670424287934073,1792.5961496829987,
ERANDIO,ok,6.619162701526485,9.572394684225337,4.431985915792592,6.022702001599405,990.4033207893372,
EUROPA,ok,5.670681757864007,8.656183936242345,3.928027262324189,5.568581192229694,2060.282767534256,
LAS_CARRERAS,ok,5.9064871699736194,8.91224941443469,3.941548876215116,5.4417333497448706,830.9499015808105,
MAZARREDO,ok,4.999022930945702,7.8147318640477135,3.5967328758680472,5.312989252216753,1243.1175627708435,
MUSKIZ,ok,4.31015020070158,7.404927597247993,3.1191418006870038,4.922108262744327,580.7127420902252,
Mª_DIAZ_HARO,ok,5.6491822216269965,8.541824213458458,4.118430361835061,5.810769542661858,814.4595856666565,
M┬к_DIAZ_HARO,ok,5.6491822216269965,8.541824213458458,4.118430361835061,5.810769542661858,817.5548615455627,
SANGRONIZ,ok,6.549301024168702,9.631835830702165,4.261595310546644,5.921857394868242,1418.1756982803345,
SANTURCE,ok,6.570521860234443,8.836167483391884,4.6704203272801825,6.073735206378674,1172.1100852489471,
SAN_JULIAN,ok,6.781548831459416,10.305701029631361,4.513922682192119,6.584825853587075,1220.7788124084473,
SAN_MIGUEL,ok,4.870619275007958,6.539732524794774,3.7239904134978943,4.852587015600994,1097.5360534191132,
ZIERBENA_Puerto,ok,8.168222848798564,13.088161046372491,4.801123703392715,6.777942193494438,1023.5043094158173,
