station,status,hourly_mae,hourly_rmse,ma24_mae,ma24_rmse,elapsed_s,error
ABANTO,ok,4.894263819674222,7.154178394598688,3.3280099319129275,4.486373433089285,173.50870609283447,
ALGORTA_BBIZI2,ok,8.633464531899905,12.720829916187148,5.43119170178403,7.414893155915242,200.6123185157776,
ALONSOTEGI,ok,5.851228759078349,8.740963335596627,3.813057870367878,5.652130675964239,306.84546661376953,
ARRAIZ_Monte,ok,5.340348464850403,8.363230564812255,4.0375250095175215,5.99661287006607,163.30296659469604,
BARAKALDO,ok,6.691986519639241,10.237241944075453,4.442477434884148,6.429716697594164,311.74264335632324,
BASAURI,ok,6.945957746644453,11.042860665734201,4.735087110785049,6.777925056944893,207.71800327301025,
CASTREJANA,ok,6.871511603876645,9.887877106663566,4.1762845654572756,5.8340015445425175,175.43648076057434,
ERANDIO,ok,6.5532937600083825,9.603979160615282,4.4055167199423915,6.098157954150158,180.59866285324097,
EUROPA,ok,5.86210937666294,8.891414665561632,4.130284258294156,5.893859532771108,176.69189190864563,
LAS_CARRERAS,ok,5.999891293554097,8.992129253336993,4.074432604089874,5.633421771419464,298.3755156993866,
MAZARREDO,ok,5.1680675706998676,8.013922076679378,3.7178593807882536,5.449700814095174,182.56575417518616,
MUSKIZ,ok,4.376765104746152,7.567271319855792,3.198670174401036,5.141839220880799,307.0632338523865,
Mª_DIAZ_HARO,ok,5.414754348134406,8.435537164767176,3.9109988800979627,5.717196037375699,314.3829643726349,
M┬к_DIAZ_HARO,ok,5.414754348134406,8.435537164767176,3.9109988800979627,5.717196037375699,321.9649362564087,
SANGRONIZ,ok,6.490060202482608,9.554000735067751,4.165862403049879,5.8028873374524474,179.46562147140503,
SANTURCE,ok,6.0698187190058945,8.262155093890678,4.161598649112772,5.408109171047186,166.51714825630188,
SAN_JULIAN,ok,6.705932368639164,10.082102080133756,4.479548844908061,6.366203723348482,187.90348505973816,
SAN_MIGUEL,ok,4.365960230307183,5.825961940930737,3.246766954842538,4.084516519440684,175.05022287368774,
ZIERBENA_Puerto,ok,8.230066555631932,13.260921639530736,4.966071558377012,7.093853584932959,173.70582604408264,
