station,status,hourly_mae,hourly_rmse,ma24_mae,ma24_rmse,elapsed_s,error
ABANTO,ok,4.767113414981667,6.9605210918797225,3.0935640951235097,4.130269877837531,1434.645980834961,
ALGORTA_BBIZI2,ok,8.593568756533859,12.459257342590384,5.255262539985539,7.051697969425246,756.8047780990601,
ALONSOTEGI,ok,5.61473539526831,8.031973886298088,3.3892681564119087,4.580302365605076,711.6835412979126,
ARRAIZ_Monte,ok,5.967412218001852,8.452925906947488,4.589147820380232,5.99124808381158,2074.446441411972,
BARAKALDO,ok,6.614086732717222,9.918554412767318,4.2608416701920175,5.95036052695789,662.9839267730713,
BASAURI,ok,6.870346429616179,10.569316572493415,4.512823957820198,6.091180870374594,703.1542479991913,
CASTREJANA,ok,6.814933948201987,9.688655793489733,4.008087074943338,5.5141958347768325,913.5370695590973,
ERANDIO,ok,6.668640494497706,9.549006906655325,4.4167938411104,6.03579852564548,967.8503172397614,
EUROPA,ok,5.67976789050041,8.466459125337913,3.8506689965298193,5.296196295684047,845.6155862808228,
LAS_CARRERAS,ok,5.955412285487073,8.826565401644661,3.8646592845285848,5.148816960642691,886.2852149009705,
MAZARREDO,ok,5.02522935961429,7.627065655709111,3.5390905751769957,4.976566520918782,902.6289472579956,
MUSKIZ,ok,4.191689536225455,6.860463406911944,2.9153585942951037,4.186927917997433,967.7393679618835,
Mª_DIAZ_HARO,ok,6.011661793801381,8.919295918012885,4.393511987106256,6.1000902603688205,940.891277551651,
SANGRONIZ,ok,6.259464416449936,9.114155844248732,3.83536618950471,5.179906056167524,928.0750143527985,
SANTURCE,ok,6.500379171878388,8.709392272900855,4.534702204772515,5.873729703991452,696.0005786418915,
SAN_JULIAN,ok,6.716294707561594,10.017228255662742,4.386168825867007,6.233160564493937,1103.4593052864075,
SAN_MIGUEL,ok,4.928062678394723,6.87906294220472,3.752036320312451,5.242606836387786,896.3708488941193,
ZIERBENA_Puerto,ok,8.025257908421542,12.756083684209884,4.559417904255235,6.21448044840377,979.4054083824158,
