Time,Test MAE,Test RMSE
hourly,5.775287628173828,9.206563949584961
ma24,3.9199256896972656,5.809844970703125
0-7h,4.785983562469482,7.922243118286133
8-15h,6.0791425704956055,9.583698272705078
16-23h,6.460792541503906,9.983712196350098
