station,hourly_mae,hourly_rmse,ma24_mae,ma24_rmse
ABANTO,4.797704696655273,7.184576511383057,3.255373001098633,4.543095111846924
ALGORTA (BBIZI2),8.566030502319336,12.961442947387695,5.287742614746094,7.633566856384277
ALONSOTEGI,5.720348834991455,8.476198196411133,3.808910846710205,5.507421493530273
ARRAIZ (Monte),5.4024739265441895,8.346870422363281,4.11144495010376,6.016152858734131
BARAKALDO,6.84973669052124,10.2611665725708,4.660796165466309,6.583345890045166
BASAURI,6.620368003845215,10.835451126098633,4.524792671203613,6.690337181091309
CASTREJANA,6.940972328186035,9.837007522583008,4.377563953399658,6.12066650390625
ERANDIO,6.123274803161621,9.405582427978516,4.138789176940918,5.973369121551514
EUROPA,5.613872528076172,8.799982070922852,3.881621837615967,5.818597793579102
LAS CARRERAS,5.928068161010742,8.91789722442627,3.985450506210327,5.613470077514648
MAZARREDO,4.94555139541626,7.822992324829102,3.4798738956451416,5.324344158172607
MUSKIZ,4.3088274002075195,7.508001327514648,3.1718833446502686,5.130114555358887
Mª DIAZ HARO,5.324386119842529,8.339472770690918,3.8619115352630615,5.741811275482178
SAN JULIAN,6.525618076324463,10.086186408996582,4.270430564880371,6.377569675445557
SAN MIGUEL,5.122088432312012,7.014065742492676,4.053781986236572,5.706535816192627
SANGRONIZ,6.113823890686035,9.349536895751953,3.813518762588501,5.521602153778076
SANTURCE,5.8862810134887695,8.254596710205078,3.921238899230957,5.501058578491211
ZIERBENA (Puerto),8.051108360290527,13.2315673828125,4.726203918457031,6.986466884613037
