station,hourly_mae,hourly_rmse,ma24_mae,ma24_rmse
ABANTO,4.763132572174072,7.106273651123047,3.164339303970337,4.388296604156494
ALGORTA (BBIZI2),8.59260082244873,12.920665740966797,5.2150068283081055,7.58381986618042
ALONSOTEGI,6.11810827255249,8.825576782226562,4.150289058685303,6.089505195617676
ARRAIZ (Monte),6.083184242248535,8.732272148132324,4.802030086517334,6.537996768951416
BARAKALDO,7.001307964324951,10.273655891418457,4.765709400177002,6.539052963256836
BASAURI,6.656223297119141,10.813651084899902,4.543004512786865,6.5566277503967285
CASTREJANA,6.955873489379883,9.75169563293457,4.370864391326904,6.144027233123779
ERANDIO,6.148776054382324,9.442361831665039,4.139654636383057,5.8505964279174805
EUROPA,5.538846969604492,8.651320457458496,3.747370719909668,5.560956954956055
LAS CARRERAS,5.848690032958984,8.870564460754395,3.8923676013946533,5.507938385009766
MAZARREDO,5.030552864074707,7.870823860168457,3.5068395137786865,5.2691802978515625
MUSKIZ,4.233428001403809,7.400209903717041,3.044846773147583,4.943294048309326
Mª DIAZ HARO,5.270890712738037,8.270745277404785,3.762908697128296,5.5535993576049805
SAN JULIAN,6.396953582763672,9.921195030212402,4.058969497680664,6.100763320922852
SAN MIGUEL,4.944713592529297,6.630101203918457,3.8350846767425537,5.254998683929443
SANGRONIZ,6.0651350021362305,9.231828689575195,3.660076379776001,5.284242153167725
SANTURCE,6.553800106048584,9.09799575805664,4.521044731140137,6.660006046295166
ZIERBENA (Puerto),7.964330196380615,13.074867248535156,4.647853374481201,6.775923252105713
