Time,Test MAE,Test RMSE
hourly,5.778077602386475,9.128985404968262
ma24,3.8763139247894287,5.675249099731445
0-7h,4.815709590911865,7.863958835601807
8-15h,6.068026542663574,9.513036727905273
16-23h,6.450550556182861,9.883145332336426
