station,hourly_mae,hourly_rmse,ma24_mae,ma24_rmse
ABANTO,4.862490653991699,7.175539493560791,3.2507164478302,4.487246513366699
ALGORTA (BBIZI2),8.63559341430664,12.880587577819824,5.219836235046387,7.45049524307251
ALONSOTEGI,5.763792514801025,8.391984939575195,3.7892661094665527,5.427649021148682
ARRAIZ (Monte),6.005079746246338,8.707955360412598,4.720493793487549,6.524390697479248
BARAKALDO,7.1118035316467285,10.383220672607422,4.807771682739258,6.605971336364746
BASAURI,6.728797912597656,10.814196586608887,4.543034553527832,6.553514003753662
CASTREJANA,6.951253890991211,9.685487747192383,4.319019317626953,5.940773963928223
ERANDIO,6.208098888397217,9.440834045410156,4.131441593170166,5.844468116760254
EUROPA,5.603964805603027,8.675566673278809,3.7766146659851074,5.57861852645874
LAS CARRERAS,5.886661529541016,8.878718376159668,3.8953146934509277,5.4802141189575195
MAZARREDO,5.151905059814453,7.893775463104248,3.601954936981201,5.323817729949951
MUSKIZ,4.221516132354736,7.391320705413818,2.999356746673584,4.933777809143066
Mª DIAZ HARO,5.7253265380859375,8.548713684082031,4.168233394622803,5.97135066986084
SAN JULIAN,6.444504261016846,9.906197547912598,4.090946197509766,6.096073150634766
SAN MIGUEL,4.719859600067139,6.25706672668457,3.60823392868042,4.725718975067139
SANGRONIZ,6.097411155700684,9.212828636169434,3.6786348819732666,5.259610652923584
SANTURCE,6.120420455932617,8.469433784484863,4.125152111053467,5.782712459564209
ZIERBENA (Puerto),8.021236419677734,13.067939758300781,4.631563186645508,6.743926525115967
