Time,Test MAE,Test RMSE
hourly,5.830245018005371,9.120131492614746
ma24,3.909135103225708,5.689077854156494
0-7h,4.859536647796631,7.848155975341797
8-15h,6.115307807922363,9.479787826538086
16-23h,6.5159454345703125,9.903114318847656
