Time,Test MAE,Test RMSE
hourly,5.783181190490723,8.796232223510742
ma24,3.7943990230560303,5.229094505310059
0-7h,4.879282474517822,7.687047958374023
8-15h,6.027862548828125,9.016158103942871
16-23h,6.44244909286499,9.57812213897705
