lag_hours,acf_median,acf_mean,acf_p25,acf_p75
0,1.0,1.0,1.0,1.0
1,0.863187252417136,0.8654631953394722,0.8331725147590359,0.915541400015056
2,0.7785517573189664,0.7606627275275838,0.718420586856319,0.8340363468779839
3,0.7138434511036774,0.6922321952102637,0.6464667267084713,0.7635426891498597
4,0.6564180962966206,0.6381153172353182,0.5840968714889679,0.7026891953593021
5,0.6121473891321785,0.5937187880396182,0.5388738720840766,0.6541305252144443
6,0.5765140985520891,0.5581980527542542,0.5065468815645031,0.6161212065522383
7,0.5458555483327252,0.5281586490481409,0.4818815995045029,0.5851634871713196
8,0.5156413642929527,0.5021502410514468,0.4613459866710716,0.5596632138186616
9,0.4882768185117934,0.4788183389399083,0.44104125975976477,0.5376548887858539
10,0.47023099260384926,0.4584978058369596,0.4226614185007217,0.5153766376991966
11,0.45335898544036923,0.4409320070749756,0.4052503001939448,0.4971370003645596
12,0.4385877354489058,0.4264945859304886,0.3866987755774469,0.4812613650018349
13,0.42402283891981984,0.4146853561499443,0.3749556256333806,0.4662682047264815
14,0.4107402601580713,0.4045309251899837,0.3626235585758108,0.4541025805554695
15,0.4005259641018157,0.39596562485856546,0.35253249732854175,0.443976849689406
16,0.3946278828205676,0.3896186426679572,0.344777422315768,0.4358608516797188
17,0.3909306102781609,0.38533504331157586,0.3396985868980509,0.4298659151610619
18,0.38759569779190983,0.38208237503887393,0.3384086110121361,0.4236624380592999
19,0.38679177876727033,0.3808693859471132,0.3419831148896543,0.42143457032160914
20,0.3878231748143255,0.3801579126205105,0.3423784123510382,0.4209604801980587
21,0.38950187525858115,0.38339083336103114,0.3519425311347135,0.4240388956667327
22,0.3896588851708657,0.38949791418786217,0.3671785637112549,0.42732646061481566
23,0.3915759155926148,0.3949079566071134,0.3761762246894991,0.4321096533539889
24,0.38870663132137473,0.3924466261922077,0.37383018543342533,0.43236991940163616
25,0.3740066185376639,0.3787353904208525,0.3592191519303883,0.41708229990475437
26,0.35765493364741213,0.3594001795127696,0.3366984532769163,0.3957008514549517
27,0.3384603583943452,0.3390728445658212,0.3109533885546867,0.37446866981566374
28,0.320612519371692,0.32064350301449573,0.2876816373395228,0.35539911108324773
29,0.30495362549543054,0.30479108491036905,0.2691844920008285,0.33912574160305425
30,0.28953042182074484,0.29156391043430374,0.2593170041509575,0.3243159037558002
31,0.27778987280677325,0.2802113908090089,0.2516136691921162,0.3110016573458979
32,0.268805367372556,0.27039311216012796,0.24511925561862674,0.29763107098330266
33,0.25903985656805,0.2613852937120632,0.24148093897069978,0.2852084766955547
34,0.25158236447715354,0.2535511740025286,0.23712072152238034,0.2756178290071712
35,0.2465893050856484,0.24757035575978742,0.2329197013488075,0.26708249428395225
36,0.2394531891588675,0.24223262621733654,0.22817612230896012,0.25898369780558006
37,0.23393121469638728,0.23653661928925274,0.22189957997753532,0.25091426256091265
38,0.22998316599115284,0.2323301912182821,0.2175185465326911,0.24520385145634455
39,0.22775284454047595,0.2287672378442551,0.2127333976917239,0.24069974688848572
40,0.2247755789338668,0.2264372457985783,0.20858060892936953,0.23873926922249056
41,0.2233429682174206,0.2257377382852084,0.20825789933207217,0.23915314497814033
42,0.22336771629499858,0.22617220736434726,0.20504979317422212,0.24138906728871823
43,0.22325952642039973,0.22728904253283005,0.20209793602969986,0.2429105356177032
44,0.2225116080579897,0.23018469227522528,0.20570061340730886,0.24552476185784022
