Time,Test MAE,Test RMSE
hourly,5.883905410766602,9.26395034790039
ma24,4.003894805908203,5.9105658531188965
0-7h,4.832674026489258,7.935333728790283
8-15h,6.187947750091553,9.702462196350098
16-23h,6.6311516761779785,10.017797470092773
