station,hourly_mae,hourly_rmse,ma24_mae,ma24_rmse
ABANTO,4.9234232902526855,7.3509063720703125,3.3211917877197266,4.713442325592041
ALGORTA (BBIZI2),8.72087574005127,13.017068862915039,5.406245708465576,7.82248067855835
ALONSOTEGI,6.486682415008545,9.289839744567871,4.558626174926758,6.705128192901611
ARRAIZ (Monte),5.540324687957764,8.515007019042969,4.215867519378662,6.23181676864624
BARAKALDO,7.489865779876709,10.828824996948242,5.187852382659912,7.335783958435059
BASAURI,6.954836368560791,11.149808883666992,4.814817905426025,7.006871700286865
CASTREJANA,7.212549209594727,10.235441207885742,4.701951503753662,6.904459476470947
ERANDIO,6.423621654510498,9.719440460205078,4.372140884399414,6.255490303039551
EUROPA,5.782894134521484,8.972169876098633,4.009777069091797,5.975039482116699
LAS CARRERAS,6.0660834312438965,9.042535781860352,4.100037097930908,5.800083637237549
MAZARREDO,5.144458770751953,8.0960054397583,3.606673240661621,5.619311809539795
MUSKIZ,4.42948055267334,7.613463401794434,3.2844998836517334,5.263270854949951
Mª DIAZ HARO,5.9845709800720215,9.315536499023438,4.466196060180664,7.041324615478516
SAN JULIAN,6.562060356140137,10.053638458251953,4.25339937210083,6.333190441131592
SAN MIGUEL,7.18609619140625,9.762096405029297,6.093994617462158,8.843819618225098
SANGRONIZ,6.284114360809326,9.472555160522461,3.8699257373809814,5.609893321990967
SANTURCE,7.594497203826904,10.578108787536621,5.595866680145264,8.546869277954102
ZIERBENA (Puerto),8.236102104187012,13.239744186401367,4.851905345916748,6.9859113693237305
