station,status,hourly_mae,hourly_rmse,ma24_mae,ma24_rmse,elapsed_s,error
ABANTO,ok,5.838619607593044,8.084052635127996,3.6563991382792977,4.866067623834193,86.6,
ALGORTA_BBIZI2,ok,9.93313076867244,14.163782389090898,5.876171032658224,7.997864311194154,84.2,
ALONSOTEGI,ok,6.27253200124297,9.427018603391353,3.8242808393406804,5.629867524137075,111.7,
ARRAIZ_Monte,ok,7.002884513937344,10.355840468606562,5.208505284725264,7.161480745551536,96.1,
BARAKALDO,ok,8.534261073607963,12.360218139255053,5.51066020453953,7.555260401582056,103.7,
BASAURI,ok,8.33337279803529,12.62039996292242,5.162424064328633,7.12860454702116,81.8,
CASTREJANA,ok,7.52733763137273,10.586679642587685,4.393253096872203,5.959383678669337,84.0,
ERANDIO,ok,7.4297331755507106,10.713092832072412,4.701516026954366,6.349920933928591,84.7,
EUROPA,ok,6.788897849733044,10.09068733831787,4.296652870329898,6.2208622168680465,100.3,
LAS_CARRERAS,ok,7.581045395160438,11.305929682140503,4.94127064339947,6.780844518364135,154.7,
MAZARREDO,ok,6.245403677376417,9.512718053194204,4.449757226940417,6.366593716996866,114.8,
MUSKIZ,ok,4.902487711038554,8.230894243013827,3.27584718361243,5.058235737454546,107.5,
Mª_DIAZ_HARO,ok,6.560604763949533,9.710753529509354,4.637670279841643,6.564385114171327,79.3,
SANGRONIZ,ok,6.9835502849207165,10.24785521638232,4.191521711578669,5.7435180937015815,115.6,
SANTURCE,ok,7.234223927381602,9.401278025670317,4.851472686707511,6.206440705145898,83.6,
SAN_JULIAN,ok,7.314492257432117,10.883965497299865,4.7589985157185275,6.827851445468474,83.7,
SAN_MIGUEL,ok,5.9549697990826935,7.604828065023735,4.417782391121975,5.890406800624141,81.0,
ZIERBENA_Puerto,ok,9.784713405603442,14.51145275289817,5.713214293128933,7.695975824743265,81.2,
