station,status,hourly_mae,hourly_rmse,ma24_mae,ma24_rmse,elapsed_s,error
ABANTO,ok,5.411099995951695,7.92115873322205,3.3749906982571707,4.791201514100211,105.1,
ALGORTA_BBIZI2,ok,9.204551942792197,13.780569222140162,5.5917700628099105,7.989493857021081,101.9,
ALONSOTEGI,ok,6.450594704573268,9.694570183421327,4.186319168346359,6.291407529860664,80.3,
ARRAIZ_Monte,ok,6.229483007636029,9.658906069691694,4.222090053992535,6.378300466787982,119.9,
BARAKALDO,ok,7.878641336340056,11.420934041396103,5.150860970765979,7.169107171201474,81.6,
BASAURI,ok,7.57701411865784,12.053334630429159,4.9545073983396986,7.258256187884855,84.4,
CASTREJANA,ok,7.504834369479363,10.494487253605948,4.274187031824645,5.915034863567022,99.0,
ERANDIO,ok,7.480901009123597,10.6658176473665,4.889659252969492,6.59238749166851,92.3,
EUROPA,ok,6.641033823386553,9.866173097970385,4.339673793613338,6.3040346591149365,106.8,
LAS_CARRERAS,ok,6.774502956713624,9.609723452743825,4.360073719533157,5.86782355925542,86.0,
MAZARREDO,ok,6.041116307987718,9.07761212593434,4.176665630837479,6.003607080648735,82.0,
MUSKIZ,ok,5.055846187445749,8.524020216313005,3.5495167193040986,5.7824404687487325,101.2,
Mª_DIAZ_HARO,ok,6.458609106684515,9.700064467663712,4.231023773062048,6.228260488288225,111.2,
SANGRONIZ,ok,7.2810757463231806,10.564155092351005,4.411117018275204,6.099170660475112,113.7,
SANTURCE,ok,6.499909831886657,8.745216445371037,4.168992278112969,5.459058215262143,121.7,
SAN_JULIAN,ok,7.781692394736797,11.02009683436799,5.219327448170802,6.998109736516391,112.6,
SAN_MIGUEL,ok,5.438730236109819,6.863871178128419,3.736840963603007,4.56597626938996,162.7,
ZIERBENA_Puerto,ok,9.608019166714708,14.15648285549206,6.055195149089491,7.925628967690088,84.7,
