model,seq_len,F,ma24_rmse,ma24_rmse_std,ma24_mae,hourly_rmse,hourly_mae,n_stations
airformer,24,F1,6.507259448369344,1.119267433596303,4.3384103245205345,9.721763637330797,6.274605300691393,18
airformer,24,F2,6.004881540934245,0.7866586384073251,4.099122325579326,9.302597337298923,5.989051765865749,18
airformer,24,F3,5.693635702133179,0.8619911398532323,3.9053399827745228,9.09585001733568,5.856079684363471,18
airformer,24,F4,5.9731605052948,0.8892853775787176,4.002637717458937,9.284668975406223,5.902573135164049,18
airformer,24,F5,5.544902178976271,0.9206602634624935,3.921196116341485,9.005058394538032,5.879814253913032,18
airformer,48,F1,6.228765461179945,0.8560247262336647,4.212229781680637,9.500679175059,6.148429287804498,18
airformer,48,F2,6.274049520492554,0.7684987034197399,4.205534087287055,9.515650457806057,6.0715688069661455,18
airformer,48,F3,5.704182386398315,0.9237287600181666,3.889903121524387,9.126903110080296,5.848091549343533,18
airformer,48,F4,5.827795690960354,0.9046619908433481,4.004284805721706,9.205746359295315,5.9467719131045875,18
airformer,48,F5,5.64766173892551,0.8655553225449798,3.9867225090662637,9.084200037850273,6.008306662241618,18
airformer,72,F1,6.111329555511475,0.7390525792526684,4.17101608382331,9.390161037445068,6.131991492377387,18
airformer,72,F2,6.050797409481472,0.8506229504031686,4.075820644696553,9.321468035380045,5.951785193549262,18
airformer,72,F3,5.718951437208387,0.8823787500378741,3.9232284095552235,9.15423912472195,5.898822625478108,18
airformer,72,F4,5.713164567947388,0.8363355950403112,3.981916652785407,9.119667132695517,5.952213499281141,18
airformer,72,F5,5.442847861184014,0.7771407168538701,3.8950211471981473,8.936439037322998,5.937016328175862,18
airformer,96,F1,6.369432740741306,0.9409081460630043,4.251579271422492,9.594501839743721,6.174115843243069,18
airformer,96,F2,5.955461872948541,0.862349816976659,3.9802009926901922,9.263813654581705,5.815849939982097,18
airformer,96,F3,5.717255327436659,0.9194786926208451,3.904943916532728,9.167959610621134,5.903089205423991,18
airformer,96,F4,5.761100663079156,0.8804744260669337,3.98261825243632,9.151929246054756,5.965432114071316,18
airformer,96,F5,5.445625914467706,0.842170411491123,3.863877455393473,8.962857193417019,5.880123191409641,18
gat_informer,24,F1,6.23301899433136,1.0747667373540781,4.158339553409153,9.631697787178886,6.105227775043911,18
gat_informer,24,F2,6.248096717728509,1.079421876784367,4.143311566776699,9.645436260435316,6.131703456242879,18
gat_informer,24,F3,6.231335401535034,1.077876628512815,4.133749047915141,9.6287948290507,6.1123742659886675,18
gat_informer,24,F4,6.955874443054199,1.1239790454972514,4.687809109687805,10.155457125769722,6.497962832450867,18
gat_informer,24,F5,6.9558730655246315,1.1239799689070806,4.687815388043721,10.155456384023031,6.4979622099134655,18
gat_informer,48,F1,6.1033380428949995,1.0142052068715395,4.091077076064216,9.551323493321737,6.0542530881034,18
gat_informer,48,F2,6.096808711687724,1.0232381898114562,4.091784742143419,9.545709292093912,6.058857096566094,18
gat_informer,48,F3,6.110791855388218,1.010315285017023,4.089088691605462,9.556773662567139,6.065313882297939,18
gat_informer,48,F4,6.310966703626844,1.04306305532279,4.264495637681749,9.70125643412272,6.293165736728245,18
gat_informer,48,F5,6.174013945791456,1.0283910693089349,4.16627820332845,9.601452297634548,6.064284324645996,18
gat_informer,72,F1,6.089794331126743,0.9931177917212052,4.071094221538967,9.547860701878866,6.037340270148383,18
gat_informer,72,F2,6.145752019352383,1.0134693389550906,4.141167402267456,9.57957508828905,6.03654670715332,18
gat_informer,72,F3,6.235566298166911,1.0055062509640005,4.250801179144117,9.637873782051933,6.105213258001539,18
gat_informer,72,F4,6.194651497734918,0.9769112203267236,4.174289637141758,9.618007580439249,6.121185329225328,18
gat_informer,72,F5,7.3774886926015215,1.1463098978275763,5.071211285061306,10.467141760720146,6.76253276401096,18
