station,status,hourly_mae,hourly_rmse,ma24_mae,ma24_rmse,elapsed_s,error
ABANTO,ok,4.69734418573192,6.837802470632454,3.057034596214182,4.06195804055051,4923.219732046127,
ALGORTA_BBIZI2,ok,8.674226022556008,12.558503570985582,5.3301001411637206,7.198727456207384,3314.5883729457855,
ALONSOTEGI,ok,5.519907393655215,7.9884037743954615,3.3327962218171767,4.563463363659541,3755.5090811252594,
ARRAIZ_Monte,ok,5.681326841536201,8.36680253929539,4.265463262195079,5.822469718827907,4173.160588264465,
BARAKALDO,ok,6.625591005148262,9.946398062643091,4.271250987289221,5.999796863330897,2489.263174533844,
BASAURI,ok,7.126045272840074,10.901847713501159,4.73449525047115,6.400058316834049,4491.421976566315,
CASTREJANA,ok,6.7013627441402654,9.537563219920674,3.8771364630405416,5.264969385415923,3436.0001771450043,
ERANDIO,ok,6.87523630879938,9.72522476063808,4.678650629560049,6.27706718876309,4788.380871295929,
EUROPA,ok,5.59505540843936,8.494945239281314,3.7733480517572207,5.261030916196578,4948.35372710228,
LAS_CARRERAS,ok,6.0200586199982675,9.181593268127104,3.945983328499693,5.465876317541027,3460.2081484794617,
MAZARREDO,ok,5.069248196838179,7.525512905330866,3.5274567280211526,4.789751065688714,3370.056544780731,
MUSKIZ,ok,4.211623046149792,6.907469492083576,2.946795327642817,4.237529691128182,2148.9026942253113,
Mª_DIAZ_HARO,ok,5.794709057902659,8.658330046292281,4.08401364137306,5.686455025295956,4053.698199033737,
M┬к_DIAZ_HARO,ok,5.509996443273343,8.470639604732208,3.947830870046958,5.705616026655414,3429.08758354187,
SANGRONIZ,ok,6.234626638718768,9.090822606578906,3.7944281457837863,5.10683904680092,2457.80739235878,
SANTURCE,ok,6.281555824945599,8.34512718023496,4.31895103364815,5.583573823946184,2649.8212461471558,
SAN_JULIAN,ok,6.701518962603917,10.03145811796762,4.336182111472037,6.1907265854607445,5021.648499488831,
SAN_MIGUEL,ok,4.86262537869371,6.859496721623983,3.6995900587220953,5.224567747958623,4124.365493297577,
ZIERBENA_Puerto,ok,7.9761829815248335,12.696743218889567,4.579624929194209,6.248366486578782,4110.730058431625,
