station_key,pers_ma24_rmse,w_equal,w_difficulty,w_inv_difficulty
ABANTO,5.470080971618814,0.05555555555555555,0.04218669073244439,0.07093247701274584
ALGORTA_BBIZI2,9.519031832214916,0.05555555555555555,0.07341325550051259,0.04076111936763294
ALONSOTEGI,6.987862914338178,0.05555555555555555,0.053892220824047654,0.05552575909597077
ARRAIZ_MONTE,7.614108369858599,0.05555555555555555,0.05872198906545272,0.050958874490568296
BARAKALDO,8.127714984058903,0.05555555555555555,0.06268305719293125,0.047738680986995345
BASAURI,8.608553689848453,0.05555555555555555,0.06639141066677927,0.04507219293233455
CASTREJANA,6.844928961889872,0.05555555555555555,0.052789876913895604,0.05668523295676133
ERANDIO,7.633229827032049,0.05555555555555555,0.0588694587289395,0.050831221064920364
EUROPA,7.555322275631831,0.05555555555555555,0.05826861537877783,0.0513553728910607
LAS_CARRERAS,7.023902052649079,0.05555555555555555,0.05417016405561481,0.055240860403352646
MAZARREDO,6.720262247939311,0.05555555555555555,0.051828414710072684,0.05773679336638797
MUSKIZ,6.520860351435884,0.05555555555555555,0.05029057529180837,0.05950233126703465
M_DIAZ_HARO,6.950441811750238,0.05555555555555555,0.05360361952363997,0.055824709174783146
SANGRONIZ,7.2021405329360455,0.05555555555555555,0.05554478568982837,0.053873760308178004
SANTURCE,5.529658325392379,0.05555555555555555,0.0426461668190587,0.07016824005119292
SAN_JULIAN,8.095768162535062,0.05555555555555555,0.062436674975464374,0.04792706324926575
SAN_MIGUEL,4.547000410187765,0.05555555555555555,0.03506765275690627,0.08533238569934228
ZIERBENA_PUERTO,8.712798156412987,0.05555555555555555,0.06719537117382551,0.04453292568147247
