model,config,tp,fp,fn,tn,pod,far,csi,n_windows,n_obs_events,n_pred_events
Informer,F1,5,4,118,10617,0.04065040650406504,0.4444444444444444,0.03937007874015748,10744,123,9
AirFormer,F5,68,23,160,10838,0.2982456140350877,0.25274725274725274,0.27091633466135456,11089,228,91
GAT-Informer,F2,48,23,137,8893,0.2594594594594595,0.323943661971831,0.23076923076923078,9101,185,71
XGBoost,F5,24,19,75,10277,0.24242424242424243,0.4418604651162791,0.2033898305084746,10395,99,43
