model,config,tp,fp,fn,tn,pod,far,csi,n_windows,n_obs_events,n_pred_events,obs_pct_windows,pred_pct_windows,pod_pct,far_pct,csi_pct
XGBoost,F5,25,24,23,10323,0.5208333333333334,0.4897959183673469,0.3472222222222222,10395,48,49,0.46176046176046176,0.4713804713804714,52.083333333333336,48.97959183673469,34.72222222222222
AirFormer,F5,23,38,97,10931,0.1916666666666666,0.6229508196721312,0.1455696202531645,11089,120,61,1.0821534854360177,0.5500946884299757,19.16666666666666,62.295081967213115,14.55696202531645
Informer,F1,0,3,126,10615,0.0,1.0,0.0,10744,126,3,1.172747580044676,0.027922561429635145,0.0,100.0,0.0
GAT-Informer,F2,20,55,126,8900,0.136986301369863,0.7333333333333333,0.099502487562189,9101,146,75,1.6042193165586198,0.8240852653554555,13.698630136986301,73.33333333333333,9.950248756218901
