station_key,station,informer_ma24_rmse,airformer_ma24_rmse,gat_ma24_rmse,informer_hourly_rmse,airformer_hourly_rmse,gat_hourly_rmse,informer_best_F,airformer_best_F,gat_best_F,spatial_best_ma24_rmse,delta_spatial,delta_air,delta_gat,pct_vs_informer,winner,profile,lat,lon,town,type
SAN_JULIAN,SAN JULIAN,6.8629512014398335,5.772629737854004,6.610043525695801,10.56000763154345,9.632678031921388,10.074020385742188,F5,F3I,F2,5.772629737854004,1.0903214635858296,1.0903214635858296,0.2529076757440327,15.88706420289106,airformer,spatial_dynamic,43.33265016,-3.11299477,Muskiz,industrial
SANGRONIZ,SANGRONIZ,5.741986692294251,4.876306533813477,5.997935771942139,9.594524820252175,8.964821815490723,10.043962478637695,F1,F3I,F2,4.876306533813477,0.8656801584807745,0.8656801584807745,-0.2559490796478876,15.076317742820924,airformer,spatial_dynamic,43.29842136,-2.930385818,Sondika,traffic
ZIERBENA_PUERTO,ZIERBENA (Puerto),7.282389991345715,6.464933395385742,7.601161956787109,13.37860513319622,12.85218906402588,13.8888521194458,F1,F5,F2,6.464933395385742,0.8174565959599729,0.8174565959599729,-0.3187719654413943,11.225114240399462,airformer,spatial_dynamic,43.35305543,-3.080988277,Zierbena,industrial
EUROPA,EUROPA,5.951900314281164,5.145529747009277,6.312233924865723,9.005365191294946,8.33077621459961,9.48366355895996,F3,F3I,F3,5.145529747009277,0.8063705672718866,0.8063705672718866,-0.3603336105845587,13.548119502893176,airformer,spatial_dynamic,43.25491057,-2.902376116,Bilbao,background
MUSKIZ,MUSKIZ,5.100676585714381,4.410892486572266,5.620753765106201,7.608754806393653,6.950322151184082,8.053205490112305,F1,F3I,F3,4.410892486572266,0.6897840991421154,0.6897840991421154,-0.5200771793918202,13.523384350107877,airformer,spatial_dynamic,43.32071312,-3.112716272,Muskiz,industrial
ALONSOTEGI,ALONSOTEGI,5.3904871811512844,4.708102226257324,5.700925827026367,8.62405558891285,7.928045272827148,8.980329513549805,F4,F3IL,F2,4.708102226257324,0.6823849548939602,0.6823849548939602,-0.31043864587508274,12.659059041639694,airformer,spatial_dynamic,43.247568,-2.988024,Alonsotegi,industrial
ABANTO,ABANTO,4.659311646985721,3.994986534118652,4.692605972290039,7.337316488762053,6.850273609161377,7.391231060028076,F1,F5I,F2,3.994986534118652,0.6643251128670689,0.6643251128670689,-0.033294325304318306,14.258009834925833,airformer,spatial_dynamic,43.32047399,-3.074155996,Abanto,industrial
CASTREJANA,CASTREJANA,5.6632538131452215,5.005274772644043,6.028256416320801,10.00513908686906,9.146402359008787,10.609189987182615,F5,F3IL,F4,5.005274772644043,0.6579790405011785,0.6579790405011785,-0.3650026031755793,11.618392221339526,airformer,spatial_dynamic,43.25807943,-2.973456591,Barakaldo,industrial
M_DIAZ_HARO,Mª DIAZ HARO,5.788001733504736,5.148492336273193,5.997890472412109,8.56399787680958,7.956934452056885,8.97058391571045,F1,F3I,F5,5.148492336273193,0.6395093972315422,0.6395093972315422,-0.2098887389073738,11.048880540751119,airformer,spatial_dynamic,43.25880287,-2.945656664,Bilbao,traffic
BARAKALDO,BARAKALDO,6.687286729512696,6.169933795928955,6.7806010246276855,10.4976183399856,10.080060958862305,10.253141403198242,F1,F3IL,F3,6.169933795928955,0.5173529335837408,0.5173529335837408,-0.09331429511498968,7.7363653527899565,airformer,spatial_dynamic,43.298379,-2.987133,Barakaldo,traffic
ERANDIO,ERANDIO,6.187211347477329,5.670725345611572,6.497406005859375,9.8496503366544,9.319218635559082,10.0509614944458,F1,F3I,F3,5.670725345611572,0.5164860018657569,0.5164860018657569,-0.31019465838204585,8.347637939931378,airformer,spatial_dynamic,43.30265263,-2.977239986,Erandio,traffic
LAS_CARRERAS,LAS CARRERAS,5.716400940842741,5.220590114593506,5.721351146697998,9.036872530442464,8.68253231048584,9.049460411071776,F1,F5I,F3,5.220590114593506,0.4958108262492349,0.4958108262492349,-0.004950205855257295,8.673478844122855,airformer,spatial_dynamic,43.31960313,-3.097397506,Abanto,industrial
BASAURI,BASAURI,6.777768996525957,6.30686092376709,7.146958827972412,11.192211523647387,10.620835304260254,11.332134246826172,F4,F5,F3,6.30686092376709,0.47090807275886704,0.47090807275886704,-0.36918983144645523,6.947833025885624,airformer,spatial_dynamic,43.2411313,-2.883761023,Basauri,industrial
MAZARREDO,MAZARREDO,5.402985145589152,4.94138240814209,5.910926342010498,8.036481224449705,7.619503498077393,8.56927490234375,F1,F3I,F2,4.94138240814209,0.4616027374470626,0.4616027374470626,-0.5079411964213456,8.543475967612132,airformer,spatial_dynamic,43.26750551,-2.93518811,Bilbao,traffic
SANTURCE,SANTURCE,5.000057336778355,4.672278881072998,4.883668899536133,8.033168530475637,7.713796615600586,8.125268936157227,F2,F3IL,F2,4.672278881072998,0.32777845570535735,0.32777845570535735,0.11638843724222259,6.555493939926538,airformer,spatial_dynamic,43.333012,-3.04256,Santurtzi,industrial
ARRAIZ_MONTE,ARRAIZ (Monte),5.967806876027336,5.705925464630127,5.92792272567749,8.387063051873108,8.128669738769531,8.167867660522461,F1,F3IL,F1,5.705925464630127,0.26188141139720944,0.26188141139720944,0.03988415034984616,4.388235357434007,airformer,mixed,43.24555373,-2.960475857,Bilbao,industrial
SAN_MIGUEL,SAN MIGUEL,4.122674053620523,4.1778244972229,3.875713586807251,5.924979320941505,5.818183898925781,5.598509311676025,F1,F3,F2,3.875713586807251,0.2469604668132721,-0.05515044360237731,0.2469604668132721,5.9902981317766795,gat,mixed,43.22122343,-2.886508983,Basauri,
ALGORTA_BBIZI2,ALGORTA (BBIZI2),7.58161211149386,7.349250793457031,8.177867889404297,13.040837362680485,12.799860000610352,13.046420097351074,F1,F3IL,F3,7.349250793457031,0.2323613180368289,0.2323613180368289,-0.5962557779104367,3.0648009238637384,airformer,mixed,43.36205575,-3.022782207,Getxo,industrial
