model,lead,rmse,pod_pct
XGBoost F5,1,5.281397892679075,47.88519637462235
XGBoost F5,2,6.694137161357525,27.22877002115443
XGBoost F5,3,7.407625175225686,18.016928657799273
XGBoost F5,4,7.866303669185665,13.970365890535229
XGBoost F5,5,8.213744170459654,11.61875945537065
XGBoost F5,6,8.45144555084503,10.865617433414043
XGBoost F5,7,8.65491076248701,9.71549636803874
XGBoost F5,8,8.8023076579167,9.50363196125908
XGBoost F5,9,8.936666542347758,9.50363196125908
XGBoost F5,10,9.037332754017317,9.079903147699758
XGBoost F5,11,9.131256960591996,8.807506053268765
XGBoost F5,12,9.220255009735954,9.29458068422646
XGBoost F5,13,9.296329470917915,8.991825613079019
XGBoost F5,14,9.384869701901136,8.507417499243113
XGBoost F5,15,9.499668005284144,8.298001211387039
XGBoost F5,16,9.551325754074186,7.359176256814052
XGBoost F5,17,9.632381792410733,7.177468201090249
XGBoost F5,18,9.691528686150486,6.420351302241066
XGBoost F5,19,9.753902587715597,5.693519079345851
XGBoost F5,20,9.851052548772541,5.118110236220472
XGBoost F5,21,9.925575354263009,4.4821320411871595
XGBoost F5,22,10.016580040019099,3.937007874015748
XGBoost F5,23,10.11101463086034,3.3313143549364024
XGBoost F5,24,10.17122915593739,3.119321623258631
AirFormer F5,1,5.626650389373157,41.40718562874252
AirFormer F5,2,6.876158379832068,24.588200059898174
AirFormer F5,3,7.546995125002066,15.78789694427801
AirFormer F5,4,8.029684701935425,11.593768723786699
AirFormer F5,5,8.348153480519835,9.169913095594845
AirFormer F5,6,8.614328252889264,8.840275696733594
AirFormer F5,7,8.806467845531094,7.701528318849266
AirFormer F5,8,8.960549939602311,7.252022774947558
AirFormer F5,9,9.08629115920697,7.521726101288583
AirFormer F5,10,9.183637595435227,7.461792028768355
AirFormer F5,11,9.26057690412945,7.431824992508241
AirFormer F5,12,9.316411334711887,7.701528318849266
AirFormer F5,13,9.371092940067648,7.791429427629607
AirFormer F5,14,9.418818695123129,7.701528318849266
AirFormer F5,15,9.485370771408409,7.4018579562481275
AirFormer F5,16,9.549738129687215,6.502846868444711
AirFormer F5,17,9.625943247589582,5.483967635600839
AirFormer F5,18,9.711475134104662,4.495055439017081
AirFormer F5,19,9.779135036646162,3.86574767755469
AirFormer F5,20,9.864921030075001,2.39736290080911
AirFormer F5,21,9.908142641206846,1.678154030566377
AirFormer F5,22,9.98487848406116,1.169064748201439
AirFormer F5,23,10.029957899851718,0.749400479616307
AirFormer F5,24,10.07729812623942,1.2589928057553956
