model,config,station,n_windows,obs_exceed,pred_exceed,obs_pct,pred_pct,obs_ma_mean,pred_ma_mean
GAT-Informer,F2,BARAKALDO,9101,214,125,2.3513899571475663,1.3734754422590925,17.32127876776512,16.42096033097657
GAT-Informer,F2,SAN JULIAN,9101,120,66,1.3185364245687285,0.7251950335128008,18.758675769083325,17.67664526340978
GAT-Informer,F2,ZIERBENA (Puerto),9101,113,28,1.2416217998022194,0.3076584990660367,15.409515411226026,13.428144350715192
GAT-Informer,F2,ALGORTA (BBIZI2),9101,86,29,0.9449511042742555,0.3186463026041094,18.509321294310972,16.89559238945268
GAT-Informer,F2,CASTREJANA,9101,59,25,0.6482804087462917,0.2746950884518185,12.882691421648682,12.004095234104893
GAT-Informer,F2,BASAURI,9101,59,20,0.6482804087462917,0.2197560707614548,16.176541912888833,14.722550485333484
GAT-Informer,F2,ERANDIO,9101,33,9,0.3625975167564004,0.09889023184265465,15.041460609582739,13.897917758190081
GAT-Informer,F2,LAS CARRERAS,9101,27,5,0.296670695527964,0.0549390176903637,16.389389400464186,15.451918732743849
GAT-Informer,F2,Mª DIAZ HARO,9101,24,10,0.26370728491374573,0.1098780353807274,14.758135502859641,14.25989015594199
GAT-Informer,F2,ALONSOTEGI,9101,24,10,0.26370728491374573,0.1098780353807274,11.852717608308389,11.069940284422946
GAT-Informer,F2,MUSKIZ,9101,24,7,0.26370728491374573,0.07691462476650918,10.804719237282622,9.738093764897046
GAT-Informer,F2,EUROPA,9101,24,10,0.26370728491374573,0.1098780353807274,14.128346660401505,13.0930338907595
GAT-Informer,F2,MAZARREDO,9101,24,10,0.26370728491374573,0.1098780353807274,13.926853235032592,13.03271076459519
GAT-Informer,F2,SANGRONIZ,9101,23,9,0.252719481375673,0.09889023184265465,13.568481445329965,12.726425437838348
GAT-Informer,F2,ARRAIZ (Monte),9101,22,8,0.24173167783760027,0.08790242830458192,11.201681101186386,10.373136225350372
GAT-Informer,F2,SANTURCE,9101,18,4,0.1977804636853093,0.04395121415229096,10.090649351498907,8.843059196048928
GAT-Informer,F2,ABANTO,9101,17,5,0.18679266014723656,0.0549390176903637,10.081323450473457,9.257060382556192
GAT-Informer,F2,SAN MIGUEL,9101,0,0,0.0,0.0,9.172325348275985,9.039479163898916
