station,n_windows,obs_exceed,pred_exceed,obs_pct,pred_pct
BARAKALDO,10691,364,190,3.405,1.777
SAN_JULIAN,11004,246,144,2.236,1.309
ZIERBENA_Puerto,10744,196,19,1.824,0.177
ALGORTA_BBIZI2,10997,179,26,1.628,0.236
BASAURI,10787,164,188,1.520,1.743
ARRAIZ_Monte,10951,135,54,1.233,0.493
CASTREJANA,10976,135,45,1.230,0.410
EUROPA,10851,82,109,0.756,1.005
ERANDIO,11079,83,140,0.749,1.264
MAZARREDO,10484,61,21,0.582,0.200
Mª_DIAZ_HARO,10395,46,35,0.443,0.337
LAS_CARRERAS,10907,38,36,0.348,0.330
SANGRONIZ,11079,34,33,0.307,0.298
ALONSOTEGI,10833,30,28,0.277,0.258
MUSKIZ,11012,26,24,0.236,0.218
SANTURCE,11018,20,14,0.182,0.127
ABANTO,11073,19,12,0.172,0.108
SAN_MIGUEL,10882,0,3,0.000,0.028
