model,config,station,n_windows,obs_exceed,pred_exceed,obs_pct,pred_pct,obs_ma_mean,pred_ma_mean
AirFormer,F5,BARAKALDO,11089,362,202,3.264496347731986,1.8216250338172966,18.30353650846942,17.20288212069937
AirFormer,F5,SAN JULIAN,11089,245,102,2.2093966994318692,0.9198304626206151,18.728349391256007,17.737435309845438
AirFormer,F5,ZIERBENA (Puerto),11089,194,64,1.749481468121562,0.5771485255658761,15.226342900628474,13.746655474469293
AirFormer,F5,ALGORTA (BBIZI2),11089,177,58,1.5961763910181261,0.5230408512940752,18.588725287573062,16.844830589291277
AirFormer,F5,BASAURI,11089,161,99,1.451889259626657,0.8927766254847145,15.863265375781827,14.985806407610115
AirFormer,F5,ARRAIZ (Monte),11089,134,67,1.208404725403553,0.6042023627017765,11.766735791866195,12.735744101033239
AirFormer,F5,CASTREJANA,11089,134,79,1.208404725403553,0.7124177112453783,11.876604427704931,12.414489278806379
AirFormer,F5,ERANDIO,11089,83,65,0.7484894940932456,0.5861664712778429,15.13199264820379,13.791267033170408
AirFormer,F5,EUROPA,11089,81,79,0.7304536026693119,0.7124177112453783,14.23029202460583,13.986833554332685
AirFormer,F5,MAZARREDO,11089,60,42,0.5410767427180089,0.3787537199026062,13.973521052087134,13.28692845254263
AirFormer,F5,Mª DIAZ HARO,11089,46,42,0.4148255027504735,0.3787537199026062,13.114986315902192,13.55394995259856
AirFormer,F5,LAS CARRERAS,11089,38,48,0.3426819370547389,0.4328613941744071,16.3079966545879,15.494077972987805
AirFormer,F5,SANGRONIZ,11089,33,44,0.29759220849490486,0.39678961132653984,13.604040781886237,13.148663824428121
AirFormer,F5,ALONSOTEGI,11089,30,27,0.27053837135900444,0.24348453422310395,10.874582912786668,10.95928943389401
AirFormer,F5,MUSKIZ,11089,26,32,0.23446658851113714,0.2885742627829381,10.640003604082217,10.048878807363202
AirFormer,F5,SANTURCE,11089,20,24,0.18035891423933628,0.21643069708720356,9.621963954836897,11.14657220165304
AirFormer,F5,ABANTO,11089,19,19,0.17134096852736946,0.17134096852736946,10.409260675998654,10.36537889529705
AirFormer,F5,SAN MIGUEL,11089,0,8,0.0,0.07214356569573452,9.382811788420842,10.930198786046702
