pm10_bin,n,n_sah,pct_sah,mean_pm10,pct_of_all
0-10,353023,23973,6.790775671840079,5.034031776966374,35.66130233056177
10-20,377871,44856,11.87071778464079,14.014872800505993,38.17137119380806
20-40,220778,61020,27.638623413564755,26.247153248965024,22.302317429563416
40-80,34548,17450,50.50943614681024,50.17682644436726,3.48993315709245
80+,3713,2579,69.4586587664961,112.12200377053595,0.37507588897430433
