model,config,tp,fp,fn,tn,pod,far,csi,n_windows,n_obs_events,n_pred_events
Informer,F1,346,164,577,9657,0.37486457204767065,0.3215686274509804,0.31830726770929163,10744,923,510
AirFormer,F5,419,65,411,10194,0.5048192771084338,0.13429752066115702,0.4681564245810056,11089,830,484
GAT-Informer,F2,250,18,428,8405,0.3687315634218289,0.06716417910447761,0.35919540229885055,9101,678,268
XGBoost,F5,412,174,578,9231,0.4161616161616162,0.29692832764505117,0.3539518900343643,10395,990,586
