model,config,tp,fp,fn,tn,pod,far,csi,n_windows,n_obs_events,n_pred_events
XGBoost,F5,25,24,23,10323,0.5208333333333334,0.4897959183673469,0.3472222222222222,10395,48,49
AirFormer,F5,23,38,97,10931,0.19166666666666668,0.6229508196721312,0.14556962025316456,11089,120,61
Informer,F1,0,3,126,10615,0.0,1.0,0.0,10744,126,3
GAT-Informer,F2,20,55,126,8900,0.136986301369863,0.7333333333333333,0.09950248756218906,9101,146,75
