station,n_windows,obs_exceed,pred_exceed,obs_pct,pred_pct
BARAKALDO,11089,362,202,3.264,1.822
SAN JULIAN,11089,245,102,2.209,0.920
ZIERBENA (Puerto),11089,194,64,1.749,0.577
ALGORTA (BBIZI2),11089,177,58,1.596,0.523
BASAURI,11089,161,99,1.452,0.893
ARRAIZ (Monte),11089,134,67,1.208,0.604
CASTREJANA,11089,134,79,1.208,0.712
ERANDIO,11089,83,65,0.748,0.586
EUROPA,11089,81,79,0.730,0.712
MAZARREDO,11089,60,42,0.541,0.379
Mª DIAZ HARO,11089,46,42,0.415,0.379
LAS CARRERAS,11089,38,48,0.343,0.433
SANGRONIZ,11089,33,44,0.298,0.397
ALONSOTEGI,11089,30,27,0.271,0.243
MUSKIZ,11089,26,32,0.234,0.289
SANTURCE,11089,20,24,0.180,0.216
ABANTO,11089,19,19,0.171,0.171
SAN MIGUEL,11089,0,8,0.000,0.072
