model,config,tp,fp,fn,tn,pod,far,csi,n_windows,n_obs_events,n_pred_events
XGBoost,F5,39,104,189,10063,0.17105263157894737,0.7272727272727273,0.11746987951807229,10395,228,143
AirFormer,F5,76,81,174,10758,0.304,0.5159235668789809,0.229607250755287,11089,250,157
Informer,F1,11,12,299,10422,0.035483870967741936,0.5217391304347826,0.034161490683229816,10744,310,23
GAT-Informer,F2,64,77,229,8731,0.21843003412969283,0.5460992907801419,0.17297297297297298,9101,293,141
