strategy,model,model_label,feature_config,n_stations,ma24_rmse,vs_oracle_delta,improvement_vs_oracle_pct,skill_vs_pers_ma24,improvement_vs_pers_pct
oracle_best_per_station,oracle,Oracle (best per station),mixed,18,5.192398032749552,0.0,0.0,0.2791877049224768,27.91877049224768
single_model_best_F,airformer,AirFormer,F3IL,18,5.419930696487427,0.2275326637378745,4.198073305353056,0.2476014627816463,24.76014627816463
single_model_best_F,xgboost,XGBoost,F5I,18,5.421615088733034,0.22921705598348208,4.227837133990409,0.24736763428223052,24.736763428223053
single_model_best_F,informer,Informer2020,F1,18,6.057272071419063,0.8648740386695106,14.278276235112097,0.15912529121028718,15.912529121028719
single_model_best_F,gat_informer,GAT-Informer,F2,18,6.096808711687724,0.9044106789381718,14.834165244587638,0.15363678739529418,15.36367873952942
