model,model_label,feature_config,n_stations,mae_h1,rmse_h1,mae_h6,rmse_h6,mae_h12,rmse_h12,mae_h24,rmse_h24
gat_informer,GAT-Informer,F2,18,4.339603207779812,7.027242770402327,5.612726201994967,8.91577854156213,6.2588744504615255,9.799777179721493,6.761776344786771,10.431123332627347
airformer,AirFormer,F5,18,3.439565258634538,5.626650389373157,5.595538174606402,8.614328252889264,6.255900316270129,9.316411334711887,6.819360544451709,10.07729812623942
informer,Informer2020,F1,17,3.7559983476872634,6.05177592405348,5.933908199629993,9.094542274976279,6.50923124711744,9.795491753513216,7.012244203572608,10.323516914771787
xgboost,XGBoost,F5,18,3.092040094540492,5.281397892679075,5.663360182787407,8.45144555084503,6.364874846278814,9.220255009735954,7.030520315272222,10.17122915593739
