model,config,tp,fp,fn,tn,pod,far,csi,n_windows,n_obs_events,n_pred_events,obs_pct_windows,pred_pct_windows,pod_pct,far_pct,csi_pct
XGBoost,F5,39,104,189,10063,0.1710526315789473,0.7272727272727273,0.1174698795180722,10395,228,143,2.1933621933621934,1.3756613756613756,17.10526315789473,72.72727272727273,11.74698795180722
AirFormer,F5,76,81,174,10758,0.304,0.5159235668789809,0.229607250755287,11089,250,157,2.2544864279917034,1.4158174767787899,30.4,51.59235668789809,22.9607250755287
Informer,F1,11,12,299,10422,0.0354838709677419,0.5217391304347826,0.0341614906832298,10744,310,23,2.885331347728965,0.21407297096053612,3.54838709677419,52.17391304347826,3.41614906832298
GAT-Informer,F2,64,77,229,8731,0.2184300341296928,0.5460992907801419,0.1729729729729729,9101,293,141,3.2194264366553127,1.5492802988682561,21.84300341296928,54.60992907801418,17.29729729729729
