feature_config,slice,n,mae,rmse,pct_sah
F3,bin_0-10,1907496,4.863126754760742,6.752505302429199,9.281382503554399
F3,bin_10-20,1793181,3.7585971355438232,4.934165000915527,14.012584340342665
F3,bin_20-40,964255,8.475775718688965,10.333891868591309,34.73292853031615
F3,bin_40-80,115885,25.721160888671875,28.73249053955078,55.9226819691936
F3,bin_80+,9631,87.76161193847656,94.41602325439453,70.67801889731076
F3,sah_0,3955608,5.151914119720459,7.688197135925293,0.0
F3,sah_1,834840,9.146693229675293,14.737336158752441,100.0
F3,bin_ge40,125516,30.481603622436523,38.02922439575195,57.054877465821086
F3,bin_ge40_and_sah,71613,30.300004959106445,39.321041107177734,100.0
F3I,bin_0-10,1907496,5.067840576171875,6.967205047607422,9.281382503554399
F3I,bin_10-20,1793181,3.674955368041992,4.832489013671875,14.012584340342665
F3I,bin_20-40,964255,8.493311882019043,10.295236587524414,34.73292853031615
F3I,bin_40-80,115885,25.050878524780273,28.091489791870117,55.9226819691936
F3I,bin_80+,9631,79.54203796386719,85.69585418701172,70.67801889731076
F3I,sah_0,3955608,5.192012786865234,7.732635498046875,0.0
F3I,sah_1,834840,9.077173233032227,13.944293975830078,100.0
F3I,bin_ge40,125516,29.232053756713867,35.94548797607422,57.054877465821086
F3I,bin_ge40_and_sah,71613,27.6684513092041,35.35763931274414,100.0
F5,bin_0-10,1907496,5.169323921203613,7.064377307891846,9.281382503554399
F5,bin_10-20,1793181,3.598717212677002,4.860176086425781,14.012584340342665
F5,bin_20-40,964255,8.52022647857666,10.337573051452637,34.73292853031615
F5,bin_40-80,115885,25.218351364135742,28.33365821838379,55.9226819691936
F5,bin_80+,9631,85.88876342773438,92.52346801757812,70.67801889731076
F5,sah_0,3955608,5.201282024383545,7.716549396514893,0.0
F5,sah_1,834840,9.228930473327637,14.705642700195312,100.0
F5,bin_ge40,125516,29.873668670654297,37.390663146972656,57.054877465821086
F5,bin_ge40_and_sah,71613,29.062206268310547,38.13137435913086,100.0
F5I,bin_0-10,1907496,5.277790546417236,7.342245578765869,9.281382503554399
F5I,bin_10-20,1793181,3.6828770637512207,4.893609523773193,14.012584340342665
F5I,bin_20-40,964255,8.70427417755127,10.504255294799805,34.73292853031615
F5I,bin_40-80,115885,25.171062469482422,28.289865493774414,55.9226819691936
F5I,bin_80+,9631,78.89171600341797,84.91968536376953,70.67801889731076
F5I,sah_0,3955608,5.266345500946045,7.818055152893066,0.0
F5I,sah_1,834840,9.474542617797852,14.378268241882324,100.0
F5I,bin_ge40,125516,29.293113708496094,35.94778823852539,57.054877465821086
F5I,bin_ge40_and_sah,71613,27.8695125579834,35.47177505493164,100.0
