station,status,hourly_mae,hourly_rmse,ma24_mae,ma24_rmse,elapsed_s,error
ABANTO,ok,4.903240274460287,7.303750392692506,3.2963765822148114,4.608703637650541,158.92777824401855,
ALGORTA_BBIZI2,ok,8.745879964370555,12.812038258098024,5.419383235541064,7.418860614970913,183.13360977172852,
ALONSOTEGI,ok,5.82051293054437,8.78354332439514,3.7883082202737817,5.6923635842517095,169.47159457206726,
ARRAIZ_Monte,ok,5.450524377680896,8.563301630900314,4.156120439731272,6.2135579802293215,191.22392225265503,
BARAKALDO,ok,6.849026125785741,10.413418907523942,4.545112690465561,6.569343345863441,152.6785032749176,
BASAURI,ok,7.08051314741861,11.19564034562071,4.908175543153245,6.965148176411821,181.91162753105164,
CASTREJANA,ok,7.02948381298514,10.127632659854923,4.367333647265553,6.161407090087174,138.60279393196106,
ERANDIO,ok,6.664040830617051,9.82405700234668,4.575553698343478,6.348715744467451,137.37404918670654,
EUROPA,ok,5.925391936698592,9.14455550235572,4.194255591206999,6.158850822673458,338.9755320549011,
LAS_CARRERAS,ok,6.041675173818634,9.023837706830946,4.081328384423737,5.577666005448943,101.42653298377991,
MAZARREDO,ok,5.225144931115742,7.972263972091298,3.7138147273502704,5.390018057247069,200.27304315567017,
MUSKIZ,ok,4.380854796716103,7.608406938145938,3.238674052111973,5.212301354924854,163.47844457626343,
Mª_DIAZ_HARO,ok,5.419270361377582,8.423991964960777,3.880928183840981,5.692846732899044,135.19122433662415,
M┬к_DIAZ_HARO,ok,5.419270361377582,8.423991964960777,3.880928183840981,5.692846732899044,136.1989884376526,
SANGRONIZ,ok,6.458260323012017,9.636849525084076,4.121696853277372,5.8601162626304495,280.911661863327,
SANTURCE,ok,6.373393511787054,8.64843884321293,4.398166728434526,5.814628767573031,130.0590832233429,
SAN_JULIAN,ok,6.640256092950255,10.16576454094812,4.360282457978321,6.464710234122305,271.36743092536926,
SAN_MIGUEL,ok,3.9252939949726504,5.6309749505094775,2.8842686790463326,3.889132748266257,130.87064862251282,
ZIERBENA_Puerto,ok,8.24662791953493,13.245341591037647,5.011236367303832,7.074908644318663,174.61143851280212,
