station,status,hourly_mae,hourly_rmse,ma24_mae,ma24_rmse,elapsed_s,error
ABANTO,ok,4.704028927293509,6.985850527119843,3.084997213232616,4.242700910677273,6216.147135972977,
ALGORTA_BBIZI2,ok,8.64856994460562,12.632919825754453,5.369563953171921,7.343814138416127,3836.989116668701,
ALONSOTEGI,ok,5.570364455971216,8.321428256632728,3.493490421675074,5.1463311736292745,6194.133903264999,
ARRAIZ_Monte,ok,5.555328005332835,8.40315621678522,4.212876066653565,5.979016034257642,2374.3704147338867,
BARAKALDO,ok,6.697089626074497,10.191941666082224,4.365453165526366,6.278783959731361,2364.8288123607635,
BASAURI,ok,6.966882065816885,10.906684974060889,4.684851044420525,6.533033556781971,4183.018026828766,
CASTREJANA,ok,6.992843123500854,9.920663683529545,4.183269396847416,5.755147258933367,5057.609976053238,
ERANDIO,ok,6.704559182836127,9.634534959733285,4.527503767212285,6.145039650143886,3672.772097349167,
EUROPA,ok,5.684932784866249,8.744601951561414,3.9484276973617214,5.657439028648354,4758.810605764389,
LAS_CARRERAS,ok,6.112775427212886,9.175348615720377,4.089281702769538,5.545441830504083,2944.4160437583923,
MAZARREDO,ok,4.981984565160296,7.759087491523876,3.555239998598685,5.243795876745034,5487.971392154694,
MUSKIZ,ok,4.326094994967606,7.400133858419144,3.1607390566622895,4.9250780720270155,2469.6694695949554,
Mª_DIAZ_HARO,ok,5.509925182588478,8.494560527749787,4.006700553116892,5.7461843422886085,5118.059816598892,
M┬к_DIAZ_HARO,ok,5.509925182588478,8.494560527749787,4.006700553116892,5.7461843422886085,5117.317521810532,
SANGRONIZ,ok,6.37688407441681,9.447612843282036,4.018788841141997,5.680011608598898,3475.18834066391,
SANTURCE,ok,6.393352064265904,8.552652934287087,4.489969026584274,5.786230130939112,2773.070037126541,
SAN_JULIAN,ok,6.588530955670293,10.075688210316793,4.343041578734534,6.321622575091939,5069.428982019424,
SAN_MIGUEL,ok,4.4676449259913396,5.921142712201883,3.327991900563241,4.170500779813845,2221.015668153763,
ZIERBENA_Puerto,ok,8.095865049226763,12.970276927718842,4.759835226178358,6.709773879986491,4885.6654098033905,
