station,status,hourly_mae,hourly_rmse,ma24_mae,ma24_rmse,elapsed_s,error
ABANTO,ok,4.875199303504405,7.167133612819489,3.3075209889483266,4.495599452536857,384.16074109077454,
ALGORTA_BBIZI2,ok,8.618380197971813,12.706610756246421,5.41397458470838,7.4008846194164,424.3282585144043,
ALONSOTEGI,ok,5.939079001720599,8.776440738906842,3.8942977084615102,5.6514580112577715,555.343451499939,
ARRAIZ_Monte,ok,5.31050756824479,8.441631981481288,4.021471266164163,6.0800246223123215,706.4147300720215,
BARAKALDO,ok,6.6799708676991525,10.232293596609797,4.423235755475544,6.423140920296777,687.8846395015717,
BASAURI,ok,6.9273870027662925,11.039708838872462,4.722598586156006,6.798342401088682,653.8502876758575,
CASTREJANA,ok,6.939930673211223,10.142184424468196,4.349808926279119,6.252662001806315,440.5529987812042,
ERANDIO,ok,6.475346382108108,9.571472569438418,4.35786922406714,6.108247681461943,750.6391749382019,
EUROPA,ok,5.742870025877974,8.9001824566478,4.0605989533973315,5.9482057086016695,404.0998420715332,
LAS_CARRERAS,ok,6.080641462849683,9.24782090759192,4.154647551753152,5.784490063103369,701.7911324501038,
MAZARREDO,ok,5.082880767582986,7.879103142941229,3.638275142308624,5.329418364326031,654.7238693237305,
MUSKIZ,ok,4.386298401147499,7.499903928402728,3.229605269905318,5.081517734210511,403.1397976875305,
Mª_DIAZ_HARO,ok,5.399443581967911,8.393921455754281,3.8889306648735325,5.666351350201475,761.5297758579254,
M┬к_DIAZ_HARO,ok,5.399443581967911,8.393921455754281,3.8889306648735325,5.666351350201475,768.6319742202759,
SANGRONIZ,ok,6.478478171261983,9.521155484585234,4.169372382815013,5.760561578051303,485.6850047111511,
SANTURCE,ok,6.092515621005952,8.25345954590729,4.171185585154884,5.41118857191854,488.4966149330139,
SAN_JULIAN,ok,6.782337530636545,10.156207372637878,4.585295354126879,6.475488925544759,518.5510551929474,
SAN_MIGUEL,ok,4.34073501633063,5.859030055268101,3.2125585263478365,4.074471767471711,373.3926384449005,
ZIERBENA_Puerto,ok,8.24275935224756,13.26631012506205,4.960885810317897,7.089077385126978,734.791173696518,
