station,status,hourly_mae,hourly_rmse,ma24_mae,ma24_rmse,elapsed_s,error
ABANTO,ok,5.4549340590747,7.64751581860896,3.3571987721115946,4.502262528325032,246.86020922660828,
ALGORTA_BBIZI2,ok,9.187793376928584,13.287722915436465,5.432725531175013,7.419281370484642,265.8685727119446,
ALONSOTEGI,ok,6.30925954455701,9.251174866706561,3.780351130412848,5.576979857907482,224.57308530807495,
ARRAIZ_Monte,ok,6.081816522343023,9.286508627191127,4.020016532383808,6.050314622283603,197.88478016853333,
BARAKALDO,ok,7.309124507297065,10.964244968454976,4.448061365908528,6.434838525153338,455.73624205589294,
BASAURI,ok,7.662129464478359,11.67214980090956,4.753919935912351,6.769279050491717,278.78196454048157,
CASTREJANA,ok,7.381290344678778,10.424136739439364,4.182346641924845,5.836161220588643,246.05218148231506,
ERANDIO,ok,7.208586612196417,10.288433185759484,4.395297800913199,6.145362463879487,224.28590488433838,
EUROPA,ok,6.434929252542957,9.542622225473083,4.0853262861452055,5.905952242695272,246.13473081588745,
LAS_CARRERAS,ok,6.508929774788285,9.49443812528707,4.075218154137043,5.63339829676097,441.86093759536743,
MAZARREDO,ok,5.798978697218211,8.56535216691384,3.667677918884363,5.3254414198355216,220.29831838607788,
MUSKIZ,ok,4.937456763229117,8.125809439874129,3.2023432355556274,5.148181041413825,454.0383052825928,
Mª_DIAZ_HARO,ok,6.14174441390269,8.958466345274129,3.9260825838924673,5.583879441339621,245.6221215724945,
SANGRONIZ,ok,7.078989438747867,10.097858928489769,4.16963082508823,5.806614246116127,234.17568469047546,
SANTURCE,ok,6.728640405379289,8.935228525303579,4.164477065236603,5.410441518599098,233.52171778678894,
SAN_JULIAN,ok,7.375613958600493,10.749614310079917,4.447863797373733,6.3480819533093635,299.9488079547882,
SAN_MIGUEL,ok,5.078160310930561,6.48871697114375,3.252553651755837,4.089776498761854,207.1061840057373,
ZIERBENA_Puerto,ok,8.666067382321689,13.63865171582603,4.981276905512558,7.060667015760085,212.84733843803406,
